raw_keyword,target_place_type,confidence,default_action,notes
와인바,bar,0.90,needs_review,상호/업종명에 와인바 포함
칵테일바,bar,0.90,needs_review,칵테일 중심 바 후보
위스키바,bar,0.95,needs_review,위스키 중심 바 후보
바,bar,0.70,needs_review,단어가 넓으므로 상호명/업종명 동시 확인
펍,pub,0.85,needs_review,펍 후보
호프,pub,0.75,needs_review,일반 호프/주점은 앱 타깃 적합성 검수
맥주,pub,0.70,needs_review,수제맥주/펍 여부 검수
이자카야,pub,0.65,needs_review,pub 또는 restaurant로 갈릴 수 있음
주류판매,liquor_shop,0.90,needs_review,주류 판매점 후보
주류소매,liquor_shop,0.90,needs_review,주류 소매 후보
와인샵,bottle_shop,0.90,needs_review,와인 판매점
보틀샵,bottle_shop,0.95,needs_review,보틀샵 후보
리커샵,liquor_shop,0.90,needs_review,liquor shop 후보
리큐르샵,liquor_shop,0.90,needs_review,liquor shop 후보
편의점,convenience_store,0.50,optional_review,한강/야외장소 주변 구매 후보로만 선택적 사용
일반음식점,restaurant,0.35,needs_review,너무 넓음. 술 추천 앱 타깃 여부 별도 검수
단란주점,other,0.20,exclude_by_default,앱 타깃에 맞지 않으면 제외. 운영자 승인 필요
유흥주점,other,0.20,exclude_by_default,앱 타깃에 맞지 않으면 제외. 운영자 승인 필요
공원,outdoor_spot,0.75,needs_review,야외장소 후보. 음주/피크닉 정책 검수
한강공원,outdoor_spot,0.95,needs_review,한강 야외장소 후보
