external_source_id,source_code,candidate_place_type,canonical_name,normalized_name,address,road_address,lat,lng,geocode_required,phone,website_url,instagram_url,tags,area_text,length_text,recommendation_eligible,review_status,operator_comment,source_url
HANGANG_OFFICIAL_01,HANGANG_OFFICIAL_PARK_PAGE,outdoor_spot,광나루한강공원,광나루한강공원,강동구 선사로 83-106,강동구 선사로 83-106,,,YES,02-3780-0501~4,https://hangang.seoul.go.kr/www/park/list.do?mid=426,,"hanriver,outdoor_spot,picnic,park,operator_review_required","1,554,810㎡",12㎞,YES_AFTER_REVIEW,needs_review,공식 페이지 기반 후보. 좌표/음주 가능 정책/시설/주차/날씨 민감도 검수 필요.,https://hangang.seoul.go.kr/www/park/list.do?mid=426
HANGANG_OFFICIAL_02,HANGANG_OFFICIAL_PARK_PAGE,outdoor_spot,잠실한강공원,잠실한강공원,송파구 한가람로 65,송파구 한가람로 65,,,YES,02-3780-0511~4,https://hangang.seoul.go.kr/www/park/list.do?mid=426,,"hanriver,outdoor_spot,picnic,park,operator_review_required","539,071㎡",4.8㎞,YES_AFTER_REVIEW,needs_review,공식 페이지 기반 후보. 좌표/음주 가능 정책/시설/주차/날씨 민감도 검수 필요.,https://hangang.seoul.go.kr/www/park/list.do?mid=426
HANGANG_OFFICIAL_03,HANGANG_OFFICIAL_PARK_PAGE,outdoor_spot,뚝섬한강공원,뚝섬한강공원,광진구 강변북로 2273,광진구 강변북로 2273,,,YES,02-3780-0521~4,https://hangang.seoul.go.kr/www/park/list.do?mid=426,,"hanriver,outdoor_spot,picnic,park,operator_review_required","825,000㎡",11.5㎞,YES_AFTER_REVIEW,needs_review,공식 페이지 기반 후보. 좌표/음주 가능 정책/시설/주차/날씨 민감도 검수 필요.,https://hangang.seoul.go.kr/www/park/list.do?mid=426
HANGANG_OFFICIAL_04,HANGANG_OFFICIAL_PARK_PAGE,outdoor_spot,잠원한강공원,잠원한강공원,강남구 강남대로 708,강남구 강남대로 708,,,YES,02-3780-0531~3,https://hangang.seoul.go.kr/www/park/list.do?mid=426,,"hanriver,outdoor_spot,picnic,park,operator_review_required","474,213㎡",5.4㎞,YES_AFTER_REVIEW,needs_review,공식 페이지 기반 후보. 좌표/음주 가능 정책/시설/주차/날씨 민감도 검수 필요.,https://hangang.seoul.go.kr/www/park/list.do?mid=426
HANGANG_OFFICIAL_05,HANGANG_OFFICIAL_PARK_PAGE,outdoor_spot,반포한강공원,반포한강공원,서초구 신반포로11길 40,서초구 신반포로11길 40,,,YES,02-3780-0541~4,https://hangang.seoul.go.kr/www/park/list.do?mid=426,,"hanriver,outdoor_spot,picnic,park,operator_review_required","563,015㎡",7.2㎞,YES_AFTER_REVIEW,needs_review,공식 페이지 기반 후보. 좌표/음주 가능 정책/시설/주차/날씨 민감도 검수 필요.,https://hangang.seoul.go.kr/www/park/list.do?mid=426
HANGANG_OFFICIAL_06,HANGANG_OFFICIAL_PARK_PAGE,outdoor_spot,이촌한강공원,이촌한강공원,용산구 이촌로72길 62,용산구 이촌로72길 62,,,YES,02-3780-0551~4,https://hangang.seoul.go.kr/www/park/list.do?mid=426,,"hanriver,outdoor_spot,picnic,park,operator_review_required","922,185㎡",10.2㎞,YES_AFTER_REVIEW,needs_review,공식 페이지 기반 후보. 좌표/음주 가능 정책/시설/주차/날씨 민감도 검수 필요.,https://hangang.seoul.go.kr/www/park/list.do?mid=426
HANGANG_OFFICIAL_07,HANGANG_OFFICIAL_PARK_PAGE,outdoor_spot,여의도한강공원,여의도한강공원,영등포구 여의동로 280,영등포구 여의동로 280,,,YES,02-3780-0561~6,https://hangang.seoul.go.kr/www/park/list.do?mid=426,,"hanriver,outdoor_spot,picnic,park,operator_review_required","1,487,374㎡",8.4㎞,YES_AFTER_REVIEW,needs_review,공식 페이지 기반 후보. 좌표/음주 가능 정책/시설/주차/날씨 민감도 검수 필요.,https://hangang.seoul.go.kr/www/park/list.do?mid=426
HANGANG_OFFICIAL_08,HANGANG_OFFICIAL_PARK_PAGE,outdoor_spot,양화한강공원,양화한강공원,영등포구 노들로 221,영등포구 노들로 221,,,YES,02-3780-0581~3,https://hangang.seoul.go.kr/www/park/list.do?mid=426,,"hanriver,outdoor_spot,picnic,park,operator_review_required","361,628㎡",5.9㎞,YES_AFTER_REVIEW,needs_review,공식 페이지 기반 후보. 좌표/음주 가능 정책/시설/주차/날씨 민감도 검수 필요.,https://hangang.seoul.go.kr/www/park/list.do?mid=426
HANGANG_OFFICIAL_09,HANGANG_OFFICIAL_PARK_PAGE,outdoor_spot,난지한강공원,난지한강공원,마포구 한강난지로 22,마포구 한강난지로 22,,,YES,02-3780-0611~3,https://hangang.seoul.go.kr/www/park/list.do?mid=426,,"hanriver,outdoor_spot,picnic,park,operator_review_required","770,000㎡",3.1㎞,YES_AFTER_REVIEW,needs_review,공식 페이지 기반 후보. 좌표/음주 가능 정책/시설/주차/날씨 민감도 검수 필요.,https://hangang.seoul.go.kr/www/park/list.do?mid=426
HANGANG_OFFICIAL_10,HANGANG_OFFICIAL_PARK_PAGE,outdoor_spot,망원한강공원,망원한강공원,마포구 마포나루길 467,마포구 마포나루길 467,,,YES,02-3780-0601~4,https://hangang.seoul.go.kr/www/park/list.do?mid=426,,"hanriver,outdoor_spot,picnic,park,operator_review_required","422,347㎡",7.4㎞,YES_AFTER_REVIEW,needs_review,공식 페이지 기반 후보. 좌표/음주 가능 정책/시설/주차/날씨 민감도 검수 필요.,https://hangang.seoul.go.kr/www/park/list.do?mid=426
HANGANG_OFFICIAL_11,HANGANG_OFFICIAL_PARK_PAGE,outdoor_spot,강서한강공원,강서한강공원,강서구 양천로27길 279-23,강서구 양천로27길 279-23,,,YES,02-3780-0621~3,https://hangang.seoul.go.kr/www/park/list.do?mid=426,,"hanriver,outdoor_spot,picnic,park,operator_review_required","1,035,463㎡",6㎞,YES_AFTER_REVIEW,needs_review,공식 페이지 기반 후보. 좌표/음주 가능 정책/시설/주차/날씨 민감도 검수 필요.,https://hangang.seoul.go.kr/www/park/list.do?mid=426
