rule_code,description,severity,result,target
MISSING_NAME,상호명/장소명이 비어 있음,HIGH,reject_candidate,place_import_candidates
MISSING_ADDRESS_AND_COORDS,주소와 좌표가 모두 없음,HIGH,reject_candidate,place_import_candidates
MISSING_COORDS,주소는 있으나 좌표가 없음,MEDIUM,needs_geocode_review,place_import_candidates
INVALID_LAT_LNG,위도/경도가 범위를 벗어남,HIGH,needs_review_or_reject,place_import_candidates
DUP_SOURCE_EXTERNAL_ID,동일 source_id/external_source_id 중복,HIGH,dedupe_match,place_source_refs
DUP_NAME_NEAR_COORD,정규화 이름이 같고 좌표가 가까움,MEDIUM,dedupe_match,place_dedupe_matches
CLOSED_LICENSE_STATUS,인허가 데이터상 폐업/말소/취소 상태,HIGH,review_or_mark_closed,places/status verification
AMBIGUOUS_BUSINESS_TYPE,일반음식점/이자카야/호프 등 앱 타깃 불명확,MEDIUM,needs_review,place_review_tasks
RESTRICTED_SOURCE_POLICY,source_policy가 realtime_only/restricted인데 저장 시도,CRITICAL,reject_persistence,all ingestion
KAKAO_PERSISTENCE_ATTEMPT,Kakao Local/Map API 응답을 canonical 저장하려는 시도,CRITICAL,reject_persistence,all ingestion
OUTDATED_INVENTORY,inventory last_seen_at/expires_at이 기준 초과,MEDIUM,lower_confidence_or_exclude,venue_inventory_items
EXPIRED_PRICE_OFFER,price valid_until 만료,MEDIUM,exclude_or_needs_update,venue_price_offers
